congress,chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
0,senate,A000360,Alexander,TN,,Republican,118,0.889830508,0.8562756,26.0057009
115,senate,A000360,Alexander,TN,,R,80,0.9375,0.87959201,26.0057009
116,senate,A000360,Alexander,TN,,R,38,0.789473684,0.80718843,26.0057009
0,senate,B000575,Blunt,MO,,Republican,128,0.90625,0.78650281,18.637117
115,senate,B000575,Blunt,MO,,R,84,0.964285714,0.8299707,18.637117
116,senate,B000575,Blunt,MO,,R,42,0.833333333,0.73289168,18.637117
117,senate,B000575,Blunt,MO,,R,2,0,0.08668553,18.637117
0,senate,B000944,Brown,OH,,Democrat,128,0.2578125,0.64165848,8.1295744
115,senate,B000944,Brown,OH,,D,83,0.301204819,0.69004529,8.1295744
116,senate,B000944,Brown,OH,,D,43,0.186046512,0.57551594,8.1295744
117,senate,B000944,Brown,OH,,D,2,0,0.0556707,8.1295744
0,senate,B001135,Burr,NC,,Republican,121,0.892561983,0.56006116,3.65522853
115,senate,B001135,Burr,NC,,R,81,0.925925926,0.60337882,3.65522853
116,senate,B001135,Burr,NC,,R,38,0.868421053,0.49480986,3.65522853
117,senate,B001135,Burr,NC,,R,2,0,0.04547036,3.65522853
0,senate,B001230,Baldwin,WI,,Democrat,128,0.2265625,0.50999485,0.7643432
115,senate,B001230,Baldwin,WI,,D,83,0.253012048,0.55965646,0.7643432
116,senate,B001230,Baldwin,WI,,D,43,0.186046512,0.43600963,0.7643432
117,senate,B001230,Baldwin,WI,,D,2,0,0.03972003,0.7643432
0,senate,B001236,Boozman,AR,,Republican,129,0.914728682,0.85128633,26.92097803
115,senate,B001236,Boozman,AR,,R,84,0.964285714,0.88744937,26.92097803
116,senate,B001236,Boozman,AR,,R,43,0.860465116,0.81469827,26.92097803
117,senate,B001236,Boozman,AR,,R,2,0,0.11908173,26.92097803
0,senate,B001243,Blackburn,TN,,Republican,131,0.885496183,0.88858059,26.0057009
116,senate,B001243,Blackburn,TN,,R,42,0.857142857,0.80721806,26.0057009
117,senate,B001243,Blackburn,TN,,R,2,0,0.11513174,26.0057009
0,senate,B001261,Barrasso,WY,,Republican,129,0.891472868,0.89536686,46.29527573
115,senate,B001261,Barrasso,WY,,R,84,0.916666667,0.92394906,46.29527573
116,senate,B001261,Barrasso,WY,,R,43,0.88372093,0.8707,46.29527573
117,senate,B001261,Barrasso,WY,,R,2,0,0.22525176,46.29527573
0,senate,B001267,Bennet,CO,,Democrat,121,0.272727273,0.41676567,-4.90558301
115,senate,B001267,Bennet,CO,,D,84,0.30952381,0.45142381,-4.90558301
116,senate,B001267,Bennet,CO,,D,35,0.2,0.35567793,-4.90558301
117,senate,B001267,Bennet,CO,,D,2,0,0.0301592,-4.90558301
0,senate,B001277,Blumenthal,CT,,Democrat,128,0.203125,0.29411808,-13.63938672
115,senate,B001277,Blumenthal,CT,,D,83,0.228915663,0.32799846,-13.63938672
116,senate,B001277,Blumenthal,CT,,D,43,0.162790698,0.24150723,-13.63938672
117,senate,B001277,Blumenthal,CT,,D,2,0,0.01921554,-13.63938672
0,senate,B001288,Booker,NJ,,Democrat,119,0.159663866,0.29032081,-14.1026978
115,senate,B001288,Booker,NJ,,D,84,0.154761905,0.32373327,-14.1026978
116,senate,B001288,Booker,NJ,,D,33,0.181818182,0.22173008,-14.1026978
117,senate,B001288,Booker,NJ,,D,2,0,0.01874449,-14.1026978
0,senate,B001310,Braun,IN,,Republican,44,0.909090909,0.71280428,19.16519376
116,senate,B001310,Braun,IN,,R,42,0.952380952,0.74253158,19.16519376
117,senate,B001310,Braun,IN,,R,2,0,0.088531,19.16519376
0,senate,C000127,Cantwell,WA,,Democrat,128,0.2421875,0.27607529,-15.4790881
115,senate,C000127,Cantwell,WA,,D,84,0.273809524,0.31016827,-15.4790881
116,senate,C000127,Cantwell,WA,,D,42,0.19047619,0.22020706,-15.4790881
117,senate,C000127,Cantwell,WA,,D,2,0,0.01740273,-15.4790881
0,senate,C000141,Cardin,MD,,Democrat,128,0.25,0.20925594,-26.41643951
115,senate,C000141,Cardin,MD,,D,84,0.285714286,0.23655615,-26.41643951
116,senate,C000141,Cardin,MD,,D,42,0.19047619,0.16417388,-26.41643951
117,senate,C000141,Cardin,MD,,D,2,0,0.00937037,-26.41643951
0,senate,C000174,Carper,DE,,Democrat,129,0.294573643,0.31783029,-11.43051247
115,senate,C000174,Carper,DE,,D,84,0.369047619,0.35394828,-11.43051247
116,senate,C000174,Carper,DE,,D,43,0.162790698,0.26105229,-11.43051247
117,senate,C000174,Carper,DE,,D,2,0,0.02160203,-11.43051247
0,senate,C000567,Cochran,MS,,Republican,68,0.970588235,0.82996148,17.82624982
115,senate,C000567,Cochran,MS,,R,68,0.970588235,0.82996148,17.82624982
0,senate,C000880,Crapo,ID,,Republican,125,0.904,0.87005797,31.76941855
115,senate,C000880,Crapo,ID,,R,83,0.927710843,0.90545073,31.76941855
116,senate,C000880,Crapo,ID,,R,40,0.9,0.83304114,31.76941855
117,senate,C000880,Crapo,ID,,R,2,0,0.14159526,31.76941855
0,senate,C001035,Collins,ME,,Republican,129,0.651162791,0.44091805,-2.96044935
115,senate,C001035,Collins,ME,,R,84,0.773809524,0.48641584,-2.96044935
116,senate,C001035,Collins,ME,,R,43,0.441860465,0.37100238,-2.96044935
117,senate,C001035,Collins,ME,,R,2,0,0.03319777,-2.96044935
0,senate,C001047,Capito,WV,,Republican,127,0.921259843,0.89600244,42.15364679
115,senate,C001047,Capito,WV,,R,83,0.963855422,0.92154115,42.15364679
116,senate,C001047,Capito,WV,,R,42,0.880952381,0.87872609,42.15364679
117,senate,C001047,Capito,WV,,R,2,0,0.19894907,42.15364679
0,senate,C001056,Cornyn,TX,,Republican,129,0.92248062,0.65903513,8.9994276
115,senate,C001056,Cornyn,TX,,R,84,0.964285714,0.70793753,8.9994276
116,senate,C001056,Cornyn,TX,,R,43,0.88372093,0.591467,8.9994276
117,senate,C001056,Cornyn,TX,,R,2,0,0.05784903,8.9994276
0,senate,C001070,Casey,PA,,Democrat,129,0.286821705,0.508316,0.72426964
115,senate,C001070,Casey,PA,,D,84,0.321428571,0.55686645,0.72426964
116,senate,C001070,Casey,PA,,D,43,0.23255814,0.43527194,0.72426964
117,senate,C001070,Casey,PA,,D,2,0,0.03964467,0.72426964
0,senate,C001071,Corker,TN,,Republican,81,0.839506173,0.87920266,26.0057009
115,senate,C001071,Corker,TN,,R,81,0.839506173,0.87920266,26.0057009
0,senate,C001075,Cassidy,LA,,Republican,128,0.890625,0.79834231,19.63911856
